id,neighborhood,house_style,lot_area,gr_liv_area,total_bsmt_sf,garage_area,year_built,year_remod,overall_qual,overall_cond,full_bath,half_bath,bedroom_abvgr,totrms_abvgrd,fireplaces,distance_to_downtown_km,school_rating,crime_index,median_income_area,has_pool,noise_1,noise_2,noise_3,sale_price,true_price_no_noise
2163,Hillcrest,2Story,5851.0,2321.0,1369.0,454.0,1972,2003,2,1,1,2,4,6,1,2.94,,38.8,104.5,False,0.393,0.894,40.0,419200.0,418894.0
2164,Hillcrest,1Story,10047.0,1599.0,667.0,217.0,1935,1943,3,6,2,0,3,4,2,7.57,5.0,55.7,95.5,False,-1.686,0.427,44.0,340000.0,328680.0
2165,Suburbia,1Story,11279.0,2633.0,1991.0,0.0,2005,2026,2,6,3,1,6,10,2,1.09,8.0,33.0,63.7,True,-0.78,0.775,37.0,392000.0,398024.0
2166,Lakeside,1.5Story,11163.0,1555.0,1270.0,453.0,1934,1951,1,6,2,2,3,4,1,3.82,7.0,12.2,48.1,False,1.054,0.471,36.0,383800.0,367210.0
2167,Old Town,1Story,8736.0,2626.0,476.0,510.0,2021,2026,2,1,1,1,5,7,1,2.11,6.0,26.5,72.1,True,0.223,0.595,6.0,342100.0,341628.0
2168,Hillcrest,1.5Story,8486.0,2663.0,1028.0,0.0,1980,2015,5,8,1,2,6,7,1,5.81,4.0,64.5,110.2,False,0.768,0.735,21.0,432900.0,419588.0
2169,Hillcrest,2Story,9744.0,1343.0,1275.0,402.0,1923,1934,4,7,2,1,5,8,1,0.69,10.0,29.7,92.1,False,-1.294,0.582,61.0,400700.0,393704.0
2170,Riverside,1Story,9012.0,2170.0,803.0,600.0,1951,1985,4,8,3,1,6,11,1,0.95,7.0,25.7,67.9,False,0.068,0.507,27.0,388500.0,388940.0
2171,Hillcrest,1.5Story,9794.0,2280.0,322.0,545.0,1909,1935,2,6,2,1,2,6,2,2.97,5.0,34.9,96.1,False,1.887,0.012,15.0,396000.0,383638.0
2172,Lakeside,1Story,8703.0,3288.0,514.0,683.0,2006,2026,10,4,1,2,5,8,0,6.99,8.0,27.2,89.0,False,-0.662,0.97,44.0,590900.0,539144.0
2173,Riverside,SplitLevel,10883.0,1442.0,1178.0,539.0,1981,2011,4,9,2,0,2,5,1,7.65,3.0,58.9,33.8,False,-0.488,0.038,80.0,280400.0,294414.0
2174,Downtown,2Story,4585.0,2638.0,213.0,428.0,1954,1979,5,4,1,1,4,7,0,5.9,10.0,72.7,87.1,True,0.582,0.12,35.0,429200.0,430648.0
2175,Hillcrest,2Story,7739.0,1860.0,341.0,559.0,1985,1992,2,5,1,2,2,5,2,10.86,8.0,35.1,70.1,False,-0.9,0.042,75.0,326700.0,342677.0
2176,Riverside,2Story,4992.0,1167.0,1175.0,,1977,2017,3,1,2,0,5,9,0,5.39,,45.8,52.4,False,0.717,0.626,64.0,274600.0,269448.0
2177,Hillcrest,2Story,8927.0,1784.0,857.0,797.0,1975,2001,3,2,3,1,3,8,1,13.55,3.0,54.4,69.6,False,-1.797,0.303,32.0,349400.0,346634.0
2178,Suburbia,2Story,14396.0,1851.0,658.0,504.0,1950,1964,10,2,2,1,2,4,0,7.28,4.0,37.2,75.5,True,-2.426,0.894,63.0,412700.0,388690.0
2179,Lakeside,1Story,6864.0,1268.0,742.0,810.0,1944,1954,2,5,1,0,6,7,1,0.78,,17.4,53.7,True,0.314,0.593,50.0,372200.0,375359.0
2180,Old Town,1Story,8472.0,2022.0,332.0,321.0,1932,1936,6,3,3,0,6,9,2,5.46,8.0,26.8,65.8,False,-0.98,0.782,19.0,326900.0,315097.0
2181,Suburbia,1.5Story,10559.0,2377.0,1153.0,0.0,1999,2011,6,4,1,0,2,4,2,1.18,2.0,43.2,62.0,False,-0.566,0.145,42.0,314500.0,340250.0
2182,Old Town,1Story,3930.0,1981.0,611.0,519.0,1959,1964,1,8,2,0,3,6,0,8.16,9.0,42.9,82.3,False,0.877,0.411,26.0,305400.0,303537.0
2183,Suburbia,2Story,6750.0,1552.0,725.0,518.0,1959,1995,4,7,2,2,2,4,1,0.47,2.0,0.0,62.6,True,0.624,0.624,54.0,328000.0,338746.0
2184,Downtown,1.5Story,9206.0,1768.0,1096.0,514.0,1990,2007,1,8,3,0,5,8,0,2.32,5.0,26.3,37.4,False,-1.227,0.188,4.0,349100.0,341800.0
2185,Riverside,2Story,2940.0,1848.0,842.0,0.0,1966,1991,2,9,3,1,6,10,2,9.95,5.0,20.3,59.9,False,0.52,0.382,7.0,328900.0,314695.0
2186,Lakeside,SplitLevel,5757.0,1970.0,654.0,360.0,2020,2026,7,3,1,1,3,5,1,4.04,4.0,52.6,51.0,True,-0.3,0.754,38.0,375300.0,382742.0
2187,Suburbia,2Story,11912.0,2460.0,114.0,0.0,1930,1969,6,7,3,1,4,6,2,15.02,5.0,21.0,44.7,False,0.417,0.682,51.0,331000.0,324283.0
2188,Riverside,1Story,11511.0,2000.0,1104.0,505.0,1905,1923,5,9,2,2,5,6,2,3.2,2.0,25.8,89.2,False,-0.02,0.902,47.0,396200.0,400603.0
2189,Lakeside,SplitLevel,9237.0,1079.0,983.0,255.0,1953,1955,3,4,2,2,4,6,1,1.14,7.0,25.1,82.5,False,-1.503,0.558,8.0,347900.0,347324.0
2190,Old Town,1Story,11034.0,1541.0,733.0,240.0,1967,1992,7,4,1,0,5,6,0,7.25,7.0,50.8,50.6,False,-0.713,0.207,10.0,278000.0,272926.0
2191,Downtown,1Story,8737.0,1941.0,514.0,399.0,2003,2026,10,6,2,0,5,8,0,1.82,9.0,54.4,45.2,True,-2.412,0.879,10.0,395600.0,408060.0
2192,Riverside,1.5Story,9842.0,2468.0,955.0,0.0,1980,1994,9,8,2,1,5,7,0,0.51,5.0,44.9,66.2,False,0.185,0.962,8.0,283600.0,403127.0
2193,Suburbia,2Story,7256.0,2564.0,1152.0,778.0,2018,2022,2,2,2,2,5,7,0,11.37,6.0,57.1,44.2,False,0.397,0.486,83.0,354200.0,343426.0
2194,Downtown,1.5Story,8438.0,2826.0,991.0,617.0,1910,1939,7,5,3,2,4,6,2,2.77,2.0,59.7,63.6,False,-0.704,0.084,26.0,442300.0,450633.0
2195,Riverside,SplitLevel,6494.0,1922.0,1638.0,689.0,1967,1992,3,3,3,1,3,5,2,1.56,4.0,0.0,69.3,False,-0.116,0.253,79.0,401300.0,385511.0
2196,Suburbia,SplitLevel,12610.0,2270.0,1246.0,0.0,2004,2010,9,8,1,2,5,8,1,0.46,6.0,46.8,73.5,False,-0.974,0.752,49.0,365100.0,387063.0
2197,Downtown,1Story,13802.0,1050.0,905.0,519.0,1963,1963,5,3,1,0,2,5,1,13.31,5.0,27.6,74.1,False,1.256,0.0,99.0,345700.0,334166.0
2198,Riverside,1Story,13134.0,2086.0,1260.0,861.0,1934,1955,8,4,3,2,4,6,1,1.0,10.0,9.9,53.9,False,-1.286,0.295,98.0,444200.0,444074.0
2199,Lakeside,1.5Story,7025.0,1259.0,970.0,248.0,1996,2002,6,4,2,2,2,4,2,1.6,3.0,28.6,69.3,False,-0.311,0.369,60.0,361700.0,362896.0
2200,Suburbia,1Story,5803.0,1816.0,969.0,394.0,2010,2017,7,1,2,2,5,9,0,15.58,1.0,49.6,91.0,False,-1.298,0.788,91.0,323100.0,321259.0
2201,Downtown,2Story,12669.0,3516.0,1494.0,406.0,1932,1944,10,7,3,2,5,9,1,3.13,9.0,64.1,30.3,False,0.235,0.437,40.0,506900.0,524828.0
2202,Old Town,2Story,9802.0,2017.0,573.0,603.0,1969,1988,2,3,3,2,4,6,2,2.87,6.0,8.1,73.9,False,1.038,0.526,39.0,346000.0,332069.0
2203,Old Town,2Story,9091.0,1375.0,960.0,303.0,2001,2026,10,5,3,0,3,6,0,0.41,1.0,47.4,46.8,False,-2.076,0.672,12.0,294900.0,300267.0
2204,Lakeside,1Story,6491.0,2074.0,1450.0,582.0,1919,1936,5,7,2,2,4,8,1,8.56,10.0,74.3,93.3,False,0.654,0.785,55.0,444600.0,454923.0
2205,Hillcrest,2Story,9405.0,1566.0,1080.0,553.0,1901,1935,2,8,1,0,5,6,0,6.76,3.0,71.6,82.7,False,1.632,0.338,66.0,365800.0,338979.0
2206,Riverside,2Story,5542.0,1322.0,795.0,590.0,1993,2017,5,10,3,1,5,9,2,24.72,10.0,0.0,82.1,False,0.129,0.172,55.0,371500.0,375848.0
2207,Suburbia,2Story,10116.0,3007.0,233.0,,1994,2010,1,2,3,0,6,9,1,7.53,4.0,78.6,52.6,False,-0.675,0.182,23.0,309400.0,320133.0
2208,Hillcrest,SplitLevel,13129.0,2437.0,0.0,706.0,1919,1939,6,7,2,0,2,3,2,15.74,4.0,54.2,72.7,True,-0.038,0.16,34.0,319400.0,396928.0
2209,Downtown,2Story,14341.0,2040.0,1822.0,0.0,1975,1980,5,4,2,0,2,6,0,6.86,3.0,0.0,74.8,False,-0.546,0.114,25.0,423500.0,420218.0
2210,Downtown,2Story,10384.0,1634.0,1080.0,545.0,1990,2026,4,8,1,1,5,5,2,2.46,2.0,19.7,25.3,True,1.964,0.441,85.0,381200.0,368695.0
2211,Old Town,1Story,4995.0,1679.0,705.0,342.0,2021,2026,5,4,1,0,2,4,2,15.28,9.0,60.2,70.6,False,0.835,0.183,13.0,282300.0,281228.0
2212,Hillcrest,2Story,8683.0,2698.0,1097.0,306.0,2001,2026,7,1,3,2,2,5,0,21.74,5.0,42.2,79.0,False,0.9,0.783,29.0,432600.0,420784.0
2213,Suburbia,SplitLevel,17135.0,2019.0,552.0,742.0,1927,1953,9,9,1,1,3,5,2,4.41,6.0,23.5,42.5,False,2.155,0.0,32.0,404300.0,378919.0
2214,Riverside,SplitLevel,5979.0,500.0,811.0,330.0,1972,1984,4,8,2,1,5,9,2,8.86,4.0,36.3,78.8,False,1.345,0.954,42.0,252000.0,261353.0
2215,Old Town,1Story,7937.0,3182.0,555.0,563.0,1992,2011,1,4,2,2,2,5,1,12.35,5.0,45.9,69.8,True,-0.121,0.013,30.0,354900.0,360576.0
2216,Downtown,1Story,13290.0,1951.0,356.0,545.0,1934,1938,6,9,2,2,3,4,1,3.79,5.0,23.4,92.9,False,0.025,0.325,90.0,401900.0,421709.0
2217,Downtown,1Story,10057.0,2039.0,66.0,648.0,1920,1945,10,5,3,2,2,5,2,3.42,4.0,32.5,60.6,False,2.36,0.754,50.0,416100.0,411438.0
2218,Old Town,2Story,19304.0,2448.0,279.0,195.0,1955,1957,4,5,3,1,6,8,0,3.02,6.0,52.9,71.2,False,-0.739,0.872,34.0,332000.0,330479.0
2219,Old Town,2Story,6270.0,2106.0,,603.0,1990,2016,2,3,3,0,5,9,1,12.47,5.0,21.0,74.1,False,-0.172,0.087,33.0,357100.0,341486.0
2220,Hillcrest,2Story,5731.0,2261.0,536.0,0.0,1966,1974,10,5,1,2,2,4,0,23.86,8.0,7.9,22.0,False,-1.013,0.801,51.0,357200.0,357556.0
2221,Hillcrest,2Story,12437.0,1617.0,1175.0,,1976,1981,5,10,3,1,3,5,2,3.53,8.0,22.3,61.6,False,-1.818,0.752,36.0,394600.0,395682.0
2222,Hillcrest,1Story,5332.0,1174.0,1352.0,0.0,1983,1992,4,1,3,0,4,8,0,18.25,7.0,17.2,69.6,False,-0.88,0.46,87.0,296400.0,293940.0
2223,Hillcrest,2Story,7564.0,2004.0,957.0,626.0,2020,2023,3,6,3,1,4,7,0,0.52,2.0,22.9,25.6,False,-0.86,0.627,12.0,339300.0,342148.0
2224,Lakeside,2Story,7919.0,2637.0,825.0,577.0,1979,2015,8,2,2,0,2,4,2,10.06,9.0,0.5,80.1,False,-0.625,0.367,32.0,510800.0,506207.0
2225,Old Town,1Story,11645.0,1494.0,1006.0,440.0,1917,1955,2,2,1,0,4,7,1,21.25,7.0,39.7,69.5,False,0.612,0.312,43.0,261600.0,258838.0
2226,Lakeside,1Story,10047.0,1450.0,775.0,278.0,1950,1987,7,1,3,1,6,8,2,4.49,8.0,52.4,69.4,False,-0.012,0.033,96.0,379300.0,372654.0
2227,Suburbia,2Story,9509.0,2522.0,1456.0,289.0,1921,1950,4,3,3,2,3,7,0,5.29,7.0,18.8,81.0,False,1.011,0.007,29.0,399800.0,402621.0
2228,Downtown,2Story,7038.0,1599.0,1738.0,0.0,1995,2004,4,8,1,0,2,4,2,8.33,6.0,22.0,60.6,False,0.151,0.526,20.0,381700.0,374920.0
2229,Downtown,2Story,12398.0,1624.0,1559.0,256.0,2025,2026,3,8,1,0,3,4,2,3.69,6.0,31.3,68.8,False,0.179,0.012,39.0,396700.0,389041.0
2230,Suburbia,2Story,30000.0,1645.0,46.0,441.0,1997,2026,9,8,3,2,4,6,2,7.44,2.0,16.8,83.6,True,-0.291,0.123,68.0,392000.0,396010.0
2231,Hillcrest,SplitLevel,10321.0,1814.0,766.0,889.0,1930,1939,5,2,2,2,3,4,0,5.06,10.0,54.7,69.0,False,1.947,0.097,98.0,374900.0,375960.0
2232,Suburbia,SplitLevel,8391.0,984.0,952.0,534.0,1987,2021,10,2,3,0,2,6,1,0.56,9.0,17.2,34.8,True,-0.423,0.633,6.0,323500.0,325627.0
2233,Downtown,1Story,5145.0,1553.0,1144.0,579.0,1902,1942,9,10,2,1,2,5,2,2.62,10.0,24.5,68.9,False,0.917,0.669,64.0,426100.0,441319.0
2234,Old Town,1Story,6483.0,1977.0,225.0,290.0,1934,1949,8,10,3,0,5,8,2,1.97,8.0,19.7,69.2,False,-1.182,0.754,53.0,342100.0,348068.0
2235,Suburbia,1.5Story,7519.0,1973.0,218.0,264.0,1938,1962,5,8,1,2,2,3,0,11.21,3.0,55.1,84.2,False,-0.243,0.973,33.0,314600.0,305206.0
2236,Suburbia,1Story,6720.0,2487.0,1499.0,587.0,1959,1994,10,9,3,1,3,8,0,5.59,4.0,30.4,61.8,False,2.008,0.98,15.0,444800.0,434281.0
2237,Downtown,2Story,8058.0,2862.0,715.0,415.0,1940,1950,6,9,1,0,5,7,1,0.72,9.0,74.9,50.4,False,0.685,0.208,65.0,442100.0,437952.0
2238,Hillcrest,2Story,15098.0,2682.0,325.0,648.0,1954,1994,5,6,3,0,4,8,0,4.07,3.0,42.1,50.5,False,-1.4,0.352,62.0,385600.0,398103.0
2239,Hillcrest,1Story,12538.0,2353.0,486.0,483.0,1901,1913,4,5,2,2,2,3,2,0.46,7.0,58.2,94.0,False,-1.032,0.562,13.0,412300.0,400204.0
2240,Riverside,1Story,7665.0,1768.0,1114.0,1029.0,2002,2026,10,10,2,1,2,5,1,1.69,7.0,28.5,73.2,False,1.602,0.044,61.0,475100.0,452177.0
2241,Hillcrest,2Story,5309.0,1507.0,605.0,384.0,1949,1958,3,7,3,2,4,7,1,6.21,2.0,16.1,93.0,False,0.088,0.192,51.0,355400.0,348091.0
2242,Downtown,2Story,12940.0,1860.0,1051.0,,2001,2026,9,9,1,0,3,6,2,5.74,1.0,34.3,95.7,False,-0.275,0.854,41.0,458000.0,458067.0
2243,Hillcrest,1Story,7965.0,2172.0,539.0,333.0,1907,1928,3,3,1,2,6,6,0,6.39,1.0,21.4,54.6,False,-0.779,0.408,53.0,306600.0,317272.0
2244,Lakeside,2Story,4428.0,2302.0,217.0,641.0,2009,2024,8,3,2,0,2,6,2,7.01,8.0,0.0,53.2,True,-0.317,0.485,92.0,460900.0,461116.0
2245,Hillcrest,1Story,10398.0,2193.0,1548.0,,1978,1996,3,7,2,0,2,6,1,13.27,3.0,55.3,65.7,False,1.414,0.737,43.0,369900.0,376069.0
2246,Lakeside,1.5Story,11603.0,1783.0,1117.0,322.0,1929,1938,9,10,2,2,4,8,2,8.99,3.0,35.7,79.1,False,-0.7,0.809,89.0,444900.0,447323.0
2247,Lakeside,1Story,3467.0,2283.0,810.0,425.0,1994,2021,9,7,2,1,6,9,1,1.31,10.0,21.0,42.8,False,-0.602,0.865,2.0,463800.0,447867.0
2248,Suburbia,2Story,6072.0,2543.0,731.0,695.0,1994,2026,8,5,1,1,2,4,2,10.18,6.0,42.5,76.2,False,0.6,0.895,73.0,425000.0,414111.0
2249,Hillcrest,2Story,7796.0,2334.0,1565.0,676.0,1991,2015,10,1,3,2,6,11,0,2.07,1.0,35.9,75.3,True,-1.04,0.295,74.0,473500.0,477765.0
2250,Hillcrest,SplitLevel,10478.0,1832.0,1198.0,0.0,2009,2020,6,2,3,1,6,11,0,3.84,4.0,63.2,47.7,False,-0.935,0.649,71.0,314200.0,313156.0
2251,Riverside,1Story,6765.0,1391.0,1432.0,401.0,2020,2026,9,3,2,1,4,8,1,2.46,5.0,,48.4,True,0.006,0.111,36.0,361500.0,361605.0
2252,Suburbia,2Story,6056.0,1378.0,705.0,767.0,1920,1937,6,3,1,0,4,4,0,10.21,5.0,31.9,76.0,False,0.031,0.969,6.0,317900.0,323268.0
2253,Hillcrest,2Story,10452.0,1475.0,971.0,449.0,1935,1972,1,8,1,2,6,7,0,6.12,8.0,48.9,105.3,False,-0.809,0.268,5.0,347100.0,363745.0
2254,Riverside,SplitLevel,6878.0,1991.0,1119.0,0.0,1905,1915,5,7,2,1,5,9,1,2.63,9.0,34.3,62.7,True,0.473,0.39,32.0,377500.0,367274.0
2255,Old Town,1.5Story,9796.0,2136.0,719.0,640.0,1908,1929,1,4,1,2,4,4,0,0.62,1.0,38.7,73.9,False,0.219,0.931,12.0,314000.0,299402.0
2256,Riverside,SplitLevel,5492.0,1072.0,910.0,263.0,1913,1933,7,10,2,1,3,6,1,6.79,3.0,59.5,57.1,False,-1.974,0.63,20.0,283400.0,290918.0
2257,Old Town,1Story,5048.0,1573.0,705.0,326.0,1987,2023,2,4,3,0,6,9,1,1.51,7.0,11.6,72.3,False,0.78,0.288,1.0,270300.0,278414.0
2258,Suburbia,1Story,10555.0,1984.0,1118.0,424.0,1976,1980,4,5,3,0,3,7,1,7.98,1.0,17.7,56.7,False,-0.57,0.086,38.0,332700.0,321482.0
2259,Downtown,1Story,8852.0,1355.0,395.0,669.0,1904,1929,9,6,2,0,3,7,2,16.18,6.0,26.6,63.3,False,0.806,0.489,90.0,365700.0,373937.0
2260,Hillcrest,2Story,11191.0,2089.0,1190.0,639.0,1953,1986,8,6,1,2,6,9,0,10.82,1.0,29.5,112.1,False,2.08,0.591,10.0,439900.0,457020.0
2261,Suburbia,1.5Story,6725.0,1681.0,1080.0,591.0,1913,1927,4,2,1,0,4,5,2,5.01,6.0,58.1,69.9,True,-0.067,0.668,36.0,324800.0,330245.0
2262,Old Town,1Story,6135.0,1452.0,865.0,0.0,1924,1944,6,4,1,1,5,7,1,1.7,1.0,6.7,39.8,True,-0.645,0.165,31.0,277900.0,261158.0
2263,Hillcrest,2Story,13046.0,1879.0,1139.0,657.0,1907,1919,6,7,1,0,6,6,2,2.97,8.0,34.4,79.6,False,1.379,0.706,43.0,426300.0,432785.0
2264,Downtown,SplitLevel,4755.0,2066.0,797.0,452.0,1966,1983,4,9,2,2,5,8,2,12.12,5.0,24.0,88.3,False,-0.839,0.363,57.0,393300.0,401334.0
2265,Riverside,1Story,12557.0,1383.0,669.0,568.0,1910,1948,8,5,3,2,2,4,0,4.6,10.0,69.0,80.2,False,1.892,0.944,91.0,356200.0,362009.0
2266,Downtown,2Story,12864.0,1717.0,1178.0,622.0,1998,2012,2,2,2,2,5,9,0,1.69,1.0,,64.8,True,-0.464,0.653,16.0,355600.0,369799.0
2267,Suburbia,1Story,10949.0,2107.0,,0.0,2017,2025,5,9,3,2,4,7,2,1.95,9.0,39.8,51.5,True,-0.627,0.918,30.0,254700.0,362264.0
2268,Riverside,SplitLevel,6369.0,1431.0,737.0,467.0,2007,2026,3,6,1,1,2,4,1,4.66,5.0,54.4,51.9,True,2.366,0.03,10.0,292000.0,295251.0
2269,Suburbia,SplitLevel,6089.0,938.0,701.0,418.0,2003,2022,7,5,2,0,2,5,0,7.07,5.0,8.6,64.6,False,0.363,0.903,4.0,263300.0,280637.0
2270,Suburbia,1Story,7529.0,1005.0,873.0,683.0,1994,2025,7,6,2,0,6,8,0,1.08,7.0,75.6,61.4,False,1.622,0.878,70.0,287500.0,292448.0
2271,Suburbia,SplitLevel,5150.0,1620.0,718.0,0.0,2014,2015,9,9,1,1,2,5,2,6.93,7.0,18.2,58.0,True,-0.026,0.511,29.0,343800.0,340570.0
2272,Suburbia,SplitLevel,5787.0,1125.0,1591.0,,2011,2026,4,1,3,2,4,6,1,7.18,9.0,60.1,89.9,False,-0.097,0.976,24.0,309500.0,304796.0
2273,Suburbia,SplitLevel,10154.0,1659.0,1083.0,299.0,1927,1955,3,4,3,0,6,11,2,2.65,9.0,46.0,84.6,False,-2.925,0.749,44.0,321200.0,322963.0
2274,Suburbia,SplitLevel,10171.0,2766.0,956.0,671.0,1976,2010,1,10,3,1,6,10,2,6.26,3.0,40.3,90.8,True,1.012,0.995,47.0,392400.0,407275.0
2275,Suburbia,1Story,5612.0,1092.0,558.0,,1938,1954,9,4,3,2,6,9,0,2.91,3.0,59.3,53.8,False,0.385,0.756,43.0,255000.0,260069.0
2276,Downtown,1.5Story,10267.0,1695.0,1260.0,205.0,2005,2023,4,10,1,2,5,5,0,2.01,9.0,54.9,51.4,False,-0.112,0.915,83.0,370400.0,366110.0
2277,Riverside,1Story,9500.0,3023.0,,433.0,1901,1914,8,3,1,1,4,4,2,4.51,9.0,37.1,69.4,False,0.592,0.197,68.0,451100.0,443390.0
2278,Lakeside,1.5Story,13745.0,2074.0,,0.0,1952,1986,4,5,1,1,3,5,2,0.8,10.0,26.6,75.5,False,0.038,0.197,37.0,401300.0,404640.0
2279,Suburbia,2Story,9889.0,1648.0,1274.0,290.0,1947,1949,4,1,1,0,6,8,1,2.12,10.0,37.5,69.3,False,-0.943,0.508,19.0,321900.0,330560.0
2280,Suburbia,1.5Story,11737.0,1764.0,1113.0,495.0,2007,2026,3,8,2,0,4,8,2,14.54,7.0,32.9,74.2,False,0.363,0.729,9.0,340100.0,339044.0
2281,Hillcrest,SplitLevel,9576.0,2086.0,0.0,503.0,1937,1947,8,3,3,0,3,8,1,14.93,10.0,42.1,96.5,False,-0.191,0.265,70.0,389700.0,394125.0
2282,Lakeside,1Story,11418.0,2783.0,884.0,,2012,2026,3,9,3,2,6,9,0,0.66,8.0,55.4,64.1,False,0.741,0.417,78.0,430600.0,443233.0
2283,Hillcrest,SplitLevel,5164.0,1558.0,1003.0,785.0,1962,2001,3,2,3,0,3,7,2,0.78,9.0,44.4,82.5,False,-0.28,0.172,69.0,366500.0,362714.0
2284,Suburbia,1Story,7765.0,1433.0,807.0,529.0,1986,2013,8,2,3,2,2,7,2,0.52,5.0,38.7,77.3,False,-0.469,0.926,73.0,337700.0,337497.0
2285,Lakeside,2Story,7993.0,1092.0,1017.0,,1966,1967,6,5,2,0,5,8,2,0.43,10.0,21.9,69.7,False,-0.544,0.744,63.0,397100.0,410846.0
2286,Downtown,2Story,7440.0,1907.0,190.0,0.0,1954,1970,8,1,1,0,4,6,2,10.2,1.0,41.5,81.7,False,-0.884,0.038,61.0,341400.0,349188.0
2287,Old Town,1.5Story,9465.0,1077.0,0.0,,1938,1939,2,4,3,0,5,9,2,4.98,10.0,1.1,54.2,False,-0.523,0.022,96.0,223200.0,225546.0
2288,Suburbia,1Story,10118.0,1595.0,540.0,534.0,1935,1954,10,7,2,2,5,9,1,3.72,10.0,19.0,50.6,False,0.432,0.994,53.0,342900.0,361750.0
2289,Lakeside,1Story,9296.0,1350.0,1069.0,757.0,1980,1987,3,6,2,0,5,7,0,8.86,8.0,47.1,75.8,False,-0.75,0.396,90.0,371000.0,380031.0
2290,Hillcrest,1Story,7616.0,2441.0,0.0,,1940,1968,2,6,3,1,3,5,0,8.46,10.0,52.7,38.5,False,-1.175,0.602,75.0,321400.0,313585.0
2291,Old Town,1Story,6264.0,1570.0,596.0,,2008,2026,2,1,3,2,3,8,0,5.78,5.0,34.6,77.2,False,0.789,0.948,44.0,256300.0,262399.0
2292,Suburbia,1Story,11897.0,2068.0,142.0,262.0,1916,1928,4,7,1,1,3,4,1,16.63,4.0,39.0,47.7,False,-0.138,0.956,35.0,263300.0,273226.0
2293,Suburbia,SplitLevel,9158.0,968.0,848.0,345.0,1927,1962,5,1,3,1,6,8,0,4.17,2.0,42.4,95.3,False,0.768,0.096,16.0,283400.0,270049.0
2294,Hillcrest,1.5Story,5673.0,1922.0,1772.0,491.0,1905,1935,1,6,3,2,5,9,0,5.58,2.0,48.6,60.9,True,-0.22,0.635,32.0,370000.0,365674.0
2295,Hillcrest,1.5Story,7572.0,1188.0,859.0,381.0,2008,2026,7,8,1,0,3,6,2,7.06,9.0,31.0,94.2,True,-0.572,0.993,52.0,403700.0,395101.0
2296,Downtown,1Story,4402.0,1616.0,905.0,251.0,1952,1966,7,8,2,0,6,10,0,4.85,1.0,15.3,64.2,True,-1.743,0.18,62.0,243000.0,377993.0
2297,Suburbia,SplitLevel,8204.0,3066.0,1302.0,248.0,1904,1915,8,4,1,0,5,6,1,6.39,3.0,42.7,63.4,False,-1.13,0.663,84.0,399500.0,403067.0
2298,Downtown,2Story,7560.0,2363.0,959.0,158.0,1905,1929,1,2,3,0,4,9,1,2.3,5.0,74.2,83.6,True,-0.873,0.774,16.0,381200.0,381362.0
2299,Downtown,2Story,6627.0,1779.0,860.0,536.0,2015,2026,1,9,1,2,6,6,2,7.87,4.0,16.6,73.3,False,0.281,0.076,16.0,375100.0,372278.0
2300,Suburbia,2Story,14110.0,3609.0,1339.0,,2010,2026,3,3,2,0,6,10,2,0.57,10.0,32.5,66.8,False,-0.109,0.387,63.0,496500.0,468175.0
2301,Old Town,1Story,5406.0,1347.0,1148.0,555.0,1934,1965,5,5,2,0,4,5,2,5.23,1.0,27.3,60.7,False,-1.026,0.205,1.0,284100.0,283016.0
2302,Suburbia,1Story,10376.0,2491.0,1071.0,315.0,1981,1981,6,3,3,2,2,4,0,1.0,1.0,83.3,60.9,False,-2.781,0.057,86.0,348800.0,335431.0
2303,Riverside,1.5Story,17420.0,1007.0,892.0,621.0,1931,1971,3,1,1,2,4,5,0,0.46,3.0,15.8,110.4,False,0.463,0.099,21.0,365400.0,337112.0
2304,Riverside,1Story,11814.0,1716.0,805.0,573.0,2006,2015,4,5,3,0,3,6,2,1.05,7.0,31.8,37.8,False,0.877,0.342,51.0,350200.0,328927.0
2305,Hillcrest,2Story,8014.0,1109.0,1335.0,461.0,1990,1990,6,6,1,1,5,5,2,3.39,4.0,27.7,46.4,False,0.965,0.579,7.0,340500.0,338559.0
2306,Hillcrest,1Story,5448.0,1992.0,809.0,,1955,1978,6,8,1,2,2,4,1,20.82,9.0,9.9,89.2,False,-0.965,0.954,8.0,419100.0,404945.0
2307,Riverside,SplitLevel,5031.0,1881.0,1467.0,356.0,2016,2026,6,8,1,1,4,4,2,13.34,1.0,8.8,87.8,False,1.027,0.936,89.0,386700.0,385123.0
2308,Hillcrest,2Story,7016.0,1681.0,510.0,491.0,1928,1932,7,9,3,2,4,6,2,2.36,4.0,46.4,51.4,False,0.566,0.872,66.0,362400.0,362834.0
2309,Riverside,2Story,6371.0,2451.0,1552.0,719.0,2025,2026,8,9,2,0,3,4,1,28.0,7.0,49.2,36.5,True,0.561,0.771,94.0,446700.0,436262.0
2310,Old Town,2Story,6299.0,1538.0,1148.0,642.0,1936,1944,9,5,1,2,5,8,2,1.95,7.0,23.8,90.9,False,-0.609,0.041,86.0,403200.0,392269.0
2311,Old Town,1Story,7229.0,2030.0,543.0,419.0,2011,2026,10,4,3,1,4,6,2,3.07,6.0,63.2,49.2,False,-0.133,0.406,98.0,335800.0,329546.0
2312,Downtown,2Story,7818.0,2301.0,1164.0,546.0,2007,2026,4,7,1,0,3,5,1,4.45,5.0,0.0,59.2,False,1.832,0.779,19.0,428000.0,430117.0
